date,symbol,call,segment,current_price
2020-01-03,AAPL,buy,D,297.43
2020-01-03,AGNC,negative,L,17.73
2020-01-03,AMD,buy,D,48.6
2020-01-03,AXP,buy,D,124.6
2020-01-03,BA,negative,D,332.76
2020-01-03,BABA,buy,L,217.0
2020-01-03,BBBY,positive,D,16.08
2020-01-03,BP,buy,D,38.83
2020-01-03,CGC,negative,D,19.9
2020-01-03,CMG,buy,D,865.13
2020-01-03,COST,buy,D,291.73
2020-01-03,CRWD,buy,I,50.75
2020-01-03,CVS,buy,D,73.57
2020-01-03,DIS,buy,D,146.5
2020-01-03,GS,buy,D,231.58
2020-01-03,HD,buy,D,218.93
2020-01-03,JPM,buy,D,138.34
2020-01-03,KBH,buy,D,34.91
2020-01-03,KLAC,buy,D,179.08
2020-01-03,LEN,buy,D,56.47
2020-01-03,LK,negative,L,36.72
2020-01-03,LRCX,buy,D,294.69
2020-01-03,MSFT,buy,D,158.62
2020-01-03,NKE,buy,D,101.92
2020-01-03,PG,buy,D,122.58
2020-01-03,SBUX,buy,L,88.83
2020-01-03,SHAK,positive,L,60.49
2020-01-03,SLB,buy,D,40.56
2020-01-03,STZ,negative,D,189.53
2020-01-03,TGT,buy,D,124.76
2020-01-03,USB,buy,L,58.51
2020-01-03,V,buy,D,189.6
2020-01-03,VIAC,buy,L,41.45
2020-01-03,WBA,sell,D,59.08
2020-01-03,WEN,buy,L,22.38
2020-01-03,WMT,buy,D,117.89
2020-01-06,AAXN,buy,I,68.75
2020-01-06,AEP,buy,D,93.67
2020-01-06,AMRN,buy,L,21.23
2020-01-06,CRWD,buy,D,55.11
2020-01-06,D,buy,D,82.39
2020-01-06,ED,buy,D,88.34
2020-01-06,ENPH,negative,L,29.66
2020-01-06,GLD,buy,D,147.39
2020-01-06,GOLD,buy,D,18.39
2020-01-06,JWN,buy,D,40.98
2020-01-06,KSS,buy,D,50.06
2020-01-06,LHX,buy,D,211.72
2020-01-06,MKTX,buy,L,374.08
2020-01-06,NOK,positive,L,3.94
2020-01-06,NTRA,buy,L,33.77
2020-01-06,PLNT,buy,I,75.04
2020-01-06,PXD,buy,D,158.11
2020-01-06,ROKU,positive,L,143.37
2020-01-06,SLB,buy,D,40.82
2020-01-06,SNAP,positive,L,16.78
2020-01-06,T,buy,L,39.1
2020-01-06,TSLA,buy,L,451.54
2020-01-07,AMD,positive,D,48.25
2020-01-07,AMT,buy,L,223.68
2020-01-07,BABA,buy,L,217.63
2020-01-07,CHWY,buy,L,29.2
2020-01-07,COLM,buy,F,100.33
2020-01-07,ISEE,positive,L,8.44
2020-01-07,MAT,buy,L,14.18
2020-01-07,MCHP,positive,D,110.69
2020-01-07,NIO,sell,L,3.24
2020-01-07,NKE,buy,F,101.78
2020-01-07,PEI,sell,L,5.01
2020-01-07,TSLA,buy,F,469.06
2020-01-07,UAA,negative,F,20.7
2020-01-08,AAPL,buy,D,303.19
2020-01-08,ADP,buy,D,169.71
2020-01-08,APLS,negative,L,39.14
2020-01-08,AXP,buy,D,125.54
2020-01-08,BABA,buy,L,218.0
2020-01-08,CHWY,buy,D,28.62
2020-01-08,CLB,negative,F,40.2
2020-01-08,CLDR,positive,L,11.98
2020-01-08,CVET,negative,D,13.6
2020-01-08,ELAN,buy,D,28.56
2020-01-08,FB,buy,L,215.22
2020-01-08,KRTX,negative,L,71.37
2020-01-08,LEN,buy,D,57.59
2020-01-08,M,positive,D,18.1
2020-01-08,NET,sell,L,17.78
2020-01-08,PETQ,negative,D,24.35
2020-01-08,PINS,negative,L,19.72
2020-01-08,SE,sell,M,40.16
2020-01-08,STZ,buy,I,190.29
2020-01-08,TDOC,buy,L,86.22
2020-01-08,TSLA,buy,D,492.14
2020-01-08,TWTR,buy,L,33.05
2020-01-08,UBER,negative,L,33.93
2020-01-08,VEEV,buy,L,141.7
2020-01-09,AAPL,buy,D,309.63
2020-01-09,BBBY,buy,F,13.45
2020-01-09,BLDP,sell,L,8.59
2020-01-09,BMY,buy,L,65.45
2020-01-09,CGC,positive,L,20.8
2020-01-09,CONE,buy,L,65.52
2020-01-09,CRON,sell,L,7.05
2020-01-09,EPR,buy,L,70.15
2020-01-09,LEN,buy,D,57.69
