Prefix,Last,First,Suffix,FilingType,StateDst,Year,Filing Year,FilingDate,DocID,DisclosureType
Hon.,Pelosi,Nancy,,P,CA12,2015,,2015-01-12,20002351,
Hon.,Pelosi,Nancy,,P,CA12,2015,,2015-07-07,20003320,
Hon.,Pelosi,Nancy,,P,CA12,2015,,2015-07-28,20003475,
Hon.,Pelosi,Nancy,,P,CA12,2016,,2016-02-02,20004503,
Hon.,Pelosi,Nancy,,P,CA12,2016,,2016-02-17,20004596,
Hon.,Pelosi,Nancy,,P,CA12,2016,,2016-05-24,20005096,
Hon.,Pelosi,Nancy,,P,CA12,2016,,2016-08-17,20005689,
Hon.,Pelosi,Nancy,,P,CA12,2017,,2017-02-06,20006683,
Hon.,Pelosi,Nancy,,P,CA12,2017,,2017-02-14,20006735,
Hon.,Pelosi,Nancy,,P,CA12,2017,,2017-07-20,20007655,
Hon.,Pelosi,Nancy,,P,CA12,2018,,2018-01-10,20008699,
Hon.,Pelosi,Nancy,,P,CA12,2018,,2018-02-26,20009030,
Hon.,Pelosi,Nancy,,P,CA12,2018,,2018-04-16,20009293,
Hon.,Pelosi,Nancy,,P,CA12,2018,,2018-09-06,20009481,
Hon.,Pelosi,Nancy,,P,CA12,2018,,2018-10-25,20010452,
Hon.,Pelosi,Nancy,,P,CA12,2018,,2018-11-08,20010631,
Hon.,Pelosi,Nancy,,P,CA12,2019,,2019-03-11,20011279,
Hon.,Pelosi,Nancy,,P,CA12,2019,,2019-07-11,20011965,
Hon.,Pelosi,Nancy,,P,CA12,2019,,2019-08-13,20012127,
Hon.,Pelosi,Nancy,,P,CA12,2019,,2019-09-18,20012288,
Hon.,Pelosi,Nancy,,P,CA12,2019,,2019-09-19,20012343,
Hon.,Pelosi,Nancy,,P,CA12,2020,,2020-02-11,20015042,
Hon.,Pelosi,Nancy,,P,CA12,2020,,2020-03-03,20016155,
Hon.,Pelosi,Nancy,,P,CA12,2020,,2020-04-01,20016340,
Hon.,Pelosi,Nancy,,P,CA12,2020,,2020-06-09,20016726,
Hon.,Pelosi,Nancy,,P,CA12,2020,,2020-07-20,20016961,
Hon.,Pelosi,Nancy,,P,CA12,2020,,2020-09-03,20017123,
Hon.,Pelosi,Nancy,,P,CA12,2020,,2020-10-04,20017460,
Hon.,Pelosi,Nancy,,P,CA12,2020,,2020-12-10,20017834,
Hon.,Pelosi,Nancy,,P,CA12,2021,,2021-01-21,20018011,
Hon.,Pelosi,Nancy,,P,CA12,2021,,2021-03-09,20018355,
Hon.,Pelosi,Nancy,,P,CA12,2021,,2021-04-09,20018539,
Hon.,Pelosi,Nancy,,P,CA12,2021,,2021-07-02,20019004,
Hon.,Pelosi,Nancy,,P,CA12,2021,,2021-08-20,20019331,
Hon.,Pelosi,Nancy,,P,CA12,2021,,2021-12-29,20020106,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-01-12,20020208,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-02-28,20020515,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-03-04,20020561,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-03-21,20020662,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-05-03,20020916,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-06-03,20021142,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-07-14,20021374,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-07-26,20021438,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-09-09,20021675,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-10-14,20021837,
Hon.,Pelosi,Nancy,,P,CA12,2022,,2022-11-30,20022063,
Hon.,Pelosi,Nancy,,P,CA12,2023,,2023-01-12,20022260,
Hon.,Pelosi,Nancy,,P,CA11,2023,,2023-01-25,20022320,
Hon.,Pelosi,Nancy,,P,CA11,2023,,2023-04-06,20022664,
Hon.,Pelosi,Nancy,,P,CA11,2023,,2023-06-06,20023080,
Hon.,Pelosi,Nancy,,P,CA11,2023,,2023-06-22,20023192,
Hon.,Pelosi,Nancy,,P,CA11,2023,,2023-12-21,20024186,
Hon.,Pelosi,Nancy,,P,CA11,2024,,2024-02-23,20024542,
Hon.,Pelosi,Nancy,,P,CA11,2024,,2024-03-21,20024625,
Hon.,Pelosi,Nancy,,P,CA11,2024,,2024-07-02,20025368,
Hon.,Pelosi,Nancy,,P,CA11,2024,,2024-07-30,20025535,
Hon.,Pelosi,Nancy,,P,CA11,2024,,2024-09-11,20025819,
Hon.,Pelosi,Nancy,,P,CA11,2025,,2025-01-17,20026590,
Hon.,Pelosi,Nancy,,P,CA11,2025,,2025-07-09,20030630,
Hon.,Pelosi,Nancy,,P,CA11,2025,,2025-10-24,20033337,
Hon.,Pelosi,Nancy,,P,CA11,2026,,2026-01-23,20033725,
Hon.,Pelosi,Nancy,,P,CA11,2026,,2026-06-23,20034836,
Hon.,Pelosi,Nancy,,P,CA11,2026,,2026-08-21,20035143,
