doc_id,filing_date,owner,asset,ticker,asset_type,txn_type,partial,txn_date,notif_date,amount_low,amount_high,status,description,instrument,disclosure_lag_days
20002351,2015-01-12,,Walt Disney Company,DIS,,P,False,2014-12-10,2014-12-10,50001.0,100000.0,New,Purchase of 92 Options,call,33
20002351,2015-01-12,,Visa Inc.,V,,S,False,2014-12-29,2014-12-29,250001.0,500000.0,New,sale of 1000 shares,stock,14
20002351,2015-01-12,,Visa Inc.,V,,S,False,2014-12-30,2014-12-30,100001.0,250000.0,New,sale of 500 shares,stock,13
20003320,2015-07-07,,"2000005577 Hertz global Holdings, Inc",HTZ,,P,False,2014-11-05,2014-11-05,15001.0,50000.0,Amended,Purchase of 50 call options with a strike price of $22 and an expiration date of 1/15/16,call,244
20003320,2015-07-07,,"2000005578 Hertz global Holdings, Inc",HTZ,,P,False,2014-11-06,2014-11-06,50001.0,100000.0,Amended,Purchase of 150 call options with a strike price of $22 and an expiration date of 1/15/16,call,243
20003320,2015-07-07,,"2000005579 Hertz global Holdings, Inc",HTZ,,P,False,2014-11-25,2014-11-25,100001.0,250000.0,Amended,Purchase of 200 call options with a strike price of $22 and an expiration date of 1/15/16,call,224
20003320,2015-07-07,,"2000005581 Hertz global Holdings, Inc",HTZ,,P,False,2014-11-28,2014-11-28,50001.0,100000.0,Amended,Purchase of 100 call options with a strike price of $22 and an expiration date of 1/15/16,call,221
20003320,2015-07-07,,2000005580 Walt Disney Company,DIS,,P,False,2014-11-28,2014-11-28,1001.0,15000.0,Amended,Purchase of 8 call options with a strike price of $90 and an expiration date of 1/15/16,call,221
20003475,2015-07-28,,"Hertz global Holdings, Inc",HTZ,,P,False,2015-07-15,2015-07-15,15001.0,50000.0,New,Purchase of 42 call options with a strike price of $14 and an expiration date of 1/15/16,call,13
20003475,2015-07-28,,"Hertz global Holdings, Inc",HTZ,,P,False,2015-07-16,2015-07-16,100001.0,250000.0,New,Purchase of 258 call options with a strike price of $14 and an expiration date of 1/15/16,call,12
20004503,2016-02-02,,Visa Inc.,V,,S,False,2015-12-29,2015-12-29,250001.0,500000.0,New,"Sale of 5,000 Shares",stock,35
20004503,2016-02-02,,Salesforce.com Inc,CRM,,S,False,2015-12-30,2015-12-30,50001.0,100000.0,New,"Contribution of 1,084 shares held personally to The Paul & Nancy Pelosi Charitable Foundation via transfer between brokerage accounts.",stock,34
20004503,2016-02-02,,Visa Inc.,V,,S,False,2015-12-30,2015-12-30,100001.0,250000.0,New,"Contribution of 2,000 shares held personally to The Paul & Nancy Pelosi Charitable Foundation via transfer between brokerage accounts.",stock,34
20004596,2016-02-17,,apple Inc.,AAPL,,P,False,2016-01-13,2016-01-13,250001.0,500000.0,New,Purchase of 200 call options with a strike price of $90 and an expiration date of 1/20/17,call,35
20004596,2016-02-17,,Walt Disney Company,DIS,,P,False,2016-01-15,2016-01-15,500001.0,1000000.0,New,"Exercised 100 call options (10,000 shares) expiring 1/15/16 at a strike price of $90",exercise,33
20005096,2016-05-24,,apple Inc.,AAPL,,P,False,2016-05-17,2016-05-17,100001.0,250000.0,New,Purchase of 100 call options with a strike price of $80 and an expiration date of 6/16/17,call,7
20005096,2016-05-24,,"square, Inc. Class a",SQ,,P,False,2016-05-17,2016-05-17,1001.0,15000.0,New,Purchase of 50 call options with a strike price of $8 and an expiration date of 1/20/17,call,7
20005689,2016-08-17,SP,Mcgrath RentCorp,MGRC,,S,False,2016-07-21,2016-07-21,250001.0,500000.0,New,"Sale of 8,000 Shares",stock,27
20005689,2016-08-17,SP,Visa Inc.,V,,S,False,2016-07-21,2016-07-21,50001.0,100000.0,New,"Sale of 1,250 Shares",stock,27
20006683,2017-02-06,JT,723 Mule Ears Court - Townhome,,,S,False,2016-12-27,2016-12-27,1000001.0,5000000.0,New,Sale of Townhome,other,41
20006683,2017-02-06,JT,1600 Atlas Peak Road - Real Estate,,,S,False,2016-12-30,2016-12-30,500001.0,1000000.0,New,Sale of Investment Property,other,38
20006735,2017-02-14,SP,apple Inc.,AAPL,,P,False,2017-01-19,2017-01-19,500001.0,1000000.0,New,"Exercised 100 call options (10,000 shares) expiring 1/20/17 at a strike price of $90",exercise,26
20006735,2017-02-14,SP,apple Inc.,AAPL,,S,False,2017-01-20,2017-01-20,250001.0,500000.0,New,sale of 100 call options with a strike price of $90 and an expiration date of 1/20/17,call,25
20006735,2017-02-14,SP,"square, Inc. Class a",SQ,,P,False,2017-01-20,2017-01-20,15001.0,50000.0,New,"Exercised 50 call options (5,000 shares) expiring 1/20/17 at a strike price of $8",exercise,25
20007655,2017-07-20,SP,apple Inc.,AAPL,,P,False,2017-06-15,2017-06-15,500001.0,1000000.0,New,"Exercised 100 call options (10,000 shares) expiring 6/16/17 at a strike price of $80",exercise,35
20007655,2017-07-20,SP,BF Enterprises Common stock New,BFET,,S,False,2017-06-20,2017-06-20,1001.0,15000.0,New,Partial cash liquidation initiated by corporation.,other,30
20008699,2018-01-10,SP,apple Inc.,AAPL,,S,False,2017-12-21,2017-12-21,100001.0,250000.0,New,"Contribution of 1,300 shares held personally to Isolep Enterprises via transfer between brokerage accounts.",stock,20
20008699,2018-01-10,SP,Visa Inc.,V,,S,False,2017-12-21,2017-12-21,100001.0,250000.0,New,"Contribution of 1,750 shares held personally to Isolep Enterprises via transfer between brokerage accounts.",stock,20
20008699,2018-01-10,SP,apple Inc.,AAPL,,S,False,2017-12-28,2017-12-28,1000001.0,5000000.0,New,"sale of 9,000 shares",stock,13
20008699,2018-01-10,SP,Visa Inc.,V,,S,False,2017-12-28,2017-12-28,500001.0,1000000.0,New,"sale of 5,000 shares",stock,13
20008699,2018-01-10,SP,apple Inc.,AAPL,,S,False,2017-12-29,2017-12-29,250001.0,500000.0,New,"Contribution of 2,800 shares held personally to the Paul & Nancy Pelosi Charitable Foundation via transfer between brokerage accounts.",stock,12
20009030,2018-02-26,SP,apple Inc.,AAPL,,P,False,2018-02-02,2018-02-02,100001.0,250000.0,New,Purchase of 50 call options with a strike price of $140 and an expiration date of 9/21/18.,call,24
20009030,2018-02-26,SP,apple Inc.,AAPL,,P,False,2018-02-02,2018-02-02,100001.0,250000.0,New,Purchase of 50 call options with a strike price of $130 and an expiration date of 9/21/18.,call,24
20009293,2018-04-16,SP,"Dropbox, Inc. - Class a",DBX,,P,False,2018-03-27,2018-03-27,250001.0,500000.0,New,"Purchase of 10,000 Shares",stock,20
20009481,2018-09-06,SP,"Amazon.com, Inc.",AMZN,ST,P,False,2018-07-27,2018-07-27,500001.0,1000000.0,New,Purchase of 20 call options with a strike price of $1700 and an expiration date of 1/17/20.,call,41
20009481,2018-09-06,SP,"Facebook, Inc. - Class A",FB,ST,P,False,2018-07-27,2018-07-27,50001.0,100000.0,New,Purchase of 20 call options with a strike price of $150 and an expiration date of 1/17/20.,call,41
