candidate,rationale,is_sharpe,oos_sharpe,full_sharpe,full_cagr,full_vol,full_max_dd,beta_spy,beta_qqq,alpha_t_spy,turnover_ann,avg_leverage,is_gain,oos_gain
Baseline (pre-specified),as reported,0.50448998086264,0.2053015537269405,0.36770792708618366,0.06593721353626125,0.13657750389669096,-0.29565765509561137,0.008750806362482329,0.12443768287357553,0.9141460539513381,36.20173355458071,1.0,0.0,0.0
Vol-target 10 %,de-lever when trailing 63d vol is high; classic Sharpe-improver for fat-tailed books,0.656898497879395,0.3872741620140693,0.5417202909447845,0.07662145521440888,0.10387291395115093,-0.20274538353810878,0.00555117707533544,0.0890071491089206,1.3496162026409564,36.20173355458071,0.7965072110808676,0.15240851701675506,0.18197260828712877
Vol-target 8 %,"same, lower target",0.656898497879395,0.3872741620140692,0.5417202909447845,0.06664181718009465,0.08310282308247996,-0.16181384774440088,0.0044409416602683585,0.0712057192871365,1.3496162026409546,36.20173355458071,0.6372057688646942,0.15240851701675506,0.18197260828712872
Hedge with QQQ,hedge the mega-cap-growth book with its natural index,0.6569057150241823,0.5387920412177738,0.6060940757416261,0.10474416524466323,0.14346821590876518,-0.2566494897189979,0.001285210595625075,0.13021450974436471,1.5355964402376847,36.27437707017286,1.0,0.1524157341615423,0.3334904874908333
Two-factor hedge SPY+QQQ,neutralise market AND growth-vs-market exposure,0.09052879294927352,0.16319050459441106,0.12187161354318754,0.030759062232932566,0.10800243338402356,-0.31179809096250044,-0.02443605397840376,-0.005618494650654532,0.3946646317921751,46.72466803471383,1.0,-0.41396118791336645,-0.04211104913252944
Two-factor hedge SPY+IWM,neutralise market AND size exposure,0.45648237818216203,-0.36024398774310784,0.08770974735481288,0.02668921668508184,0.1185231930210085,-0.3235849984186603,0.03212371402507846,0.11392288846349713,0.1396324833841951,42.715911979335864,1.0,-0.048007602680477934,-0.5655455414700483
Cramer hold 63d (lower turnover),cut short-leg costs; IS grid preferred 63,0.5600309608001606,0.24503613404728466,0.41817944922271083,0.07410277971260903,0.13922579796050485,-0.2922135791559014,-0.004508561224704774,0.12361323086807775,1.0836965619138954,18.17424066965547,1.0,0.05554097993752061,0.03973458032034416
Cramer hold 126d,even lower turnover,0.5399025179655232,0.3017313904132514,0.4340068337920712,0.07758864966961565,0.14277299009302205,-0.28259027858539976,-0.008831251636522089,0.12657054899852443,1.1392600422370978,14.807267387850686,1.0,0.03541253710288328,0.09642983668631092
No Cramer leg (hedged Pelosi only),is the short leg worth its costs?,0.6592346696899852,-0.18790873084989243,0.2873497971380345,0.05289586270315971,0.12792362194885165,-0.3301530928026635,0.01853440314073254,0.1448377382351045,0.7161568209236444,8.054748962510752,1.0,0.15474468882734527,-0.39321028457683294
Half-size Cramer leg,shrink the leg that is break-even after costs,0.6253484828388487,0.036294009687818464,0.3569142076888801,0.06168623873938994,0.12540327225353462,-0.30504532344461255,0.011156658152023779,0.13233162292005812,0.9053980192436524,21.738650557151225,1.0,0.12085850197620873,-0.16900754403912205
Pelosi: don't exit on disclosed sales,her sales carry no timing information,0.5124990182908713,0.5911447707413245,0.5469551191465034,0.09549991802987146,0.14365365599760577,-0.2754464100000562,0.006408510923009039,0.13889364647781624,1.3566251811086016,35.83584933419799,1.0,0.008009037428231336,0.38584321701438407
Pelosi: hold 504d,longer hold on the leg that supplies the return,0.4417115822746387,0.010933555106053757,0.2597122414094599,0.05099314257295395,0.1416546654764228,-0.31514301010527523,0.011994139016195353,0.13273240392862698,0.6324292789290298,35.352263184994875,1.0,-0.06277839858800127,-0.19436799862088674
Pelosi: no single-name cap,let her concentration through,0.631315801586783,0.30170927644485035,0.48647679773083724,0.10060917249951395,0.18497413759629244,-0.303871768969765,-0.006461854739183874,0.15294245608228604,1.2842358797051039,38.22128700987635,1.0,0.12682582072414306,0.09640772271790984
Combo: vol-target 10 % + Cramer 63d + no sale-exit,the structural changes that do not require choosing a hedge index post hoc,0.8839697852380198,0.7032377978271184,0.8072077933944589,0.10743833100333933,0.10481097656463187,-0.19730451922772818,-0.0029126633774554807,0.09209072321405085,2.026878879620194,17.791723407964188,0.7680121658198232,0.37947980437537987,0.4979362441001779
