variant,sharpe,cagr,max_dd,n_days,spy_beta,alpha_ann,alpha_t,avg_n_long,avg_n_short
baseline,0.36771666611799997,0.06593866233425971,-0.29565765509561126,1761,0.008757355229465507,0.04912311317470638,0.9141544174001387,5.522430437251562,110.7961385576377
Cramer: fade new buys AND reiterated holds,0.38832644420023876,0.06857125254641572,-0.3042552860323622,1761,0.006012776248526641,0.05174583947662314,0.9806809223371921,5.522430437251562,141.26973310618968
Cramer: only high-confidence calls (≥0.9),0.31931840807239975,0.05801917642948062,-0.27822286224096515,1761,0.025280626676833264,0.03898161746498657,0.7515077287481605,5.522430437251562,65.64735945485519
Pelosi: ignore option trades (stock only),0.06798366991959798,0.02379477161114063,-0.2960175120757028,1761,0.013514847474763204,0.006991588065632814,0.14578003916812324,2.8540601930721183,110.7961385576377
Pelosi: weight by disclosed $ range midpoint,0.2814373436263633,0.053547062448280336,-0.28163359573606295,1761,0.005075780223001783,0.037933086771765094,0.7145322982043164,5.522430437251562,110.7961385576377
Pelosi: no per-name cap (100%),0.48648328072790487,0.1006106822454842,-0.30387176896976476,1761,-0.006455287211922169,0.09078830237369663,1.2842408715256028,5.522430437251562,110.7961385576377
Pelosi: do not close on disclosed sales,0.5469626660719339,0.09550140700883669,-0.27544641000005665,1761,0.006415059789992217,0.0777574262012937,1.356631312345959,6.177739920499716,110.7961385576377
Beta: leg-return-series method,0.37176473567101137,0.06671486573084806,-0.28345303516971543,1761,0.030980685437977017,0.047177208430757116,0.8702624318632661,5.522430437251562,110.7961385576377
Hedge instrument: QQQ instead of SPY,0.6061176208004573,0.10474901271266246,-0.25664948971899837,1761,0.0012939288792693025,0.08678831182809633,1.5356389264541896,5.522430437251562,110.7961385576377
"Costs doubled (20 bp, 200 bp borrow)",0.029478907491299368,0.017824663720761302,-0.3330692989765004,1761,0.008765369913062922,0.0029319557190902396,0.05457198560993253,5.522430437251562,110.7961385576377
"No costs, no borrow",0.7059559438943129,0.116313901266613,-0.2563287102839935,1761,0.008749340545868158,0.09531427063032256,1.7730241207159352,5.522430437251562,110.7961385576377
